"Continent.Name","Country.Name","Store.Count","GDP_.billions.","Population_.thousands.","Stores_per_cap","GDP_per_cap","Illiteracy","Crime","medianHouseholdIncome","medianPerCapitaIncome"
"Asia","Korea, Republic of",993,1500.11159623637,50983.446,1947.69102112086,29.4235033904215,NA,NA,NA,NA
"Asia","Kuwait, State of",106,109.4197285667,3956.862,2678.89049453835,27.6531576200282,10.9259489520287,34.57,40854,7487
"Europe","Kazakhstan, Republic of",16,137.278320084171,35661.804,44.865929945664,3.84944968247179,0.270130286547852,54.81,7492,1958
"Asia","Lebanon, Lebanese Republic",29,51.2051225038143,6714.281,431.915196876628,7.62630019562993,12.4092338901713,44.07,13004,2960
"Europe","Luxembourg, Grand Duchy of",2,60.6914834431221,579.266,345.264524415381,104.773080835268,NA,NA,NA,NA
"Africa","Morocco, Kingdom of",9,103.311649248024,35126.274,25.6218464844862,2.94115024121329,65.3325342733476,48.97,6634,1135
"Europe","Monaco, Principality of",2,6.4729909231791,NA,NA,NA,NA,NA,NA,NA
"North America","Mexico, United Mexican States",579,1077.90361817607,123333.379,469.459285632643,8.73975583022071,12.2013945362404,53.31,11680,2900
"Asia","Malaysia",234,301.255454041415,30684.652,762.596232148893,9.81778949428578,13.0777821578177,58.55,11207,2267
"Europe","Netherlands, Kingdom of the",59,783.528181704567,16981.285,347.441315542375,46.1406885111796,NA,NA,NA,NA
"Europe","Norway, Kingdom of",17,368.819929542194,5250.95,323.75094030604,70.2387052899369,NA,NA,NA,NA
"Oceania","New Zealand",24,188.223664746524,4659.265,515.102703967257,40.3977161089837,NA,NA,NA,NA
"Asia","Oman, Sultanate of",12,65.481144343303,4479.217,267.903966251244,14.6188819035343,14.6714444362337,20.62,NA,NA
"North America","Panama, Republic of",5,57.9077,4037.073,123.852107702784,14.343981394441,11.1443365032042,46.2,8356,2011
"South America","Peru, Republic of",89,191.895943823887,30926.036,287.783406835587,6.20499645747961,14.6601108744317,65.65,5161,1077
"Asia","Philippines, Republic of the",298,318.627003965493,103663.812,287.467723066175,3.07365702474353,4.03049683979079,42.22,2401,478
"Europe","Poland, Republic of",53,472.037130972913,37989.218,139.513269264979,12.4255553502816,NA,NA,NA,NA
"North America","Puerto Rico, Commonwealth of",24,104.3367,3283.121,731.011741571511,31.7797303236768,20.1836403024236,64.75,NA,NA
"Europe","Portugal, Portuguese Republic",11,206.286022781894,10325.54,106.531958619113,19.9782309479111,11.0684283824381,29.83,16186,5519
"Asia","Qatar, State of",18,151.732142857143,2654.379,678.124713916136,57.1629533149347,20.8188682425029,11.9,26555,5117
"Europe","Romania",27,188.494136775719,19796.28,136.389261012675,9.52169482224534,3.20561910284828,27.82,7922,2618
"Europe","Russian Federation",218,1276.78697922181,290550.748,75.0299221394536,4.39436824035232,0.37047486795663,NA,NA,NA
"Asia","Saudi Arabia, Kingdom of",102,644.93554144,32443.443,314.393265844195,19.8787638365016,11.8756251198945,26.68,24980,4762
"Europe","Sweden, Kingdom of",18,515.654671469547,9836.003,183.001164192406,52.425225111211,NA,NA,NA,NA
"Asia","Singapore, Republic of",130,318.65233441911,5653.625,2299.40967078644,56.3624814909213,7.80973269362577,31.53,32360,7345
"Europe","Slovakia (Slovak Republic)",3,89.6406162708866,5442.001,55.1267814908524,16.4719955529017,NA,NA,NA,NA
"North America","El Salvador, Republic of",11,24.19144,6356.137,173.061090407586,3.80599725902698,27.7555180135356,67.84,4828,1114
"Asia","Thailand, Kingdom of",289,413.430123185367,68971.313,419.014786625854,5.9942330398345,19.8849532316912,40.01,7029,1795
"Europe","Turkey, Republic of",652,863.721648058011,159655.736,408.378688004044,5.40990051280094,5.07925756057187,39.5,8955,2538
"North America","Trinidad and Tobago, Republic of",3,22.2847803268856,1377.563,217.775883934165,16.1769591132207,NA,NA,NA,NA
"Asia","Taiwan",394,NA,23618.201,1668.20495769343,NA,NA,NA,NA,NA
"North America","United States of America",13608,18707.188235,323015.992,4212.79451699716,57.9141240629349,NA,NA,NA,NA
"Asia","Vietnam, Socialist Republic of",25,205.276172134901,93640.435,26.6978682873483,2.19217448247545,13.0640910272007,NA,NA,NA
"Africa","South Africa, Republic of",3,296.357282715109,56207.649,5.33735186113193,5.27254364819829,19.0493977271868,77.29,5217,1217
